Customer_ID,Bank_Name,Customer_Segment,Daily_Txn_Frequency,Daily_Txn_Limit,Daily_Amount_Spent,Daily_Amount_Limit,Monthly_Txn_Frequency,Monthly_Txn_Limit,Monthly_Amount_Spent,Monthly_Amount_Limit,Risk_Score,Risk_Category
CUST100049,Kotak Mahindra Bank,Affluent,7,17,196600,400000,116,396,3783000,9520000,40.3,Low-Medium Risk
CUST100050,IDFC First Bank,Mass Retail,2,9,19100,75000,53,210,282000,1390000,22.9,Low Risk
CUST100051,State Bank of India,SME,33,34,94900,750000,972,761,2402000,15330000,57.6,Low-Medium Risk
CUST100052,Indian Bank,Premium,9,33,243700,500000,161,720,3818000,11880000,33.5,Low Risk
CUST100053,State Bank of India,SME,37,30,192000,200000,850,777,4669000,4510000,107.0,High Risk
CUST100054,Union Bank of India,Business,7,89,425400,1500000,136,2203,8794000,30040000,19.0,Low Risk
CUST100055,Indian Bank,Affluent,8,21,139100,400000,153,463,3243000,9570000,34.9,Low Risk
CUST100056,IndusInd Bank,SME,14,48,113100,400000,281,1156,2238000,8580000,26.8,Low Risk
CUST100057,IndusInd Bank,Mass Retail,3,10,5400,25000,46,209,104000,540000,22.9,Low Risk
CUST100058,IndusInd Bank,Mass Retail,14,11,28800,25000,216,217,690000,620000,113.2,High Risk
CUST100059,IDFC First Bank,Mass Retail,8,8,32200,40000,174,172,710000,990000,86.8,Medium Risk
CUST100060,Federal Bank,Mass Retail,7,13,19900,75000,133,284,277000,1540000,34.8,Low Risk
CUST100061,Federal Bank,Mass Retail,3,6,68500,75000,55,115,1435000,1420000,75.3,Medium Risk
CUST100062,Axis Bank,Mass Retail,1,13,23200,75000,27,321,432000,1520000,20.0,Low Risk
CUST100063,IDFC First Bank,Business,28,87,60200,1000000,522,1872,798000,18210000,16.0,Low Risk
CUST100064,Bank of India,Mass Retail,3,8,11200,40000,64,185,169000,730000,30.3,Low Risk
CUST100065,Punjab National Bank,Mass Retail,3,11,4000,25000,70,215,73000,520000,21.6,Low Risk
CUST100066,Bank of Baroda,Affluent,3,15,52900,150000,38,303,1211000,3690000,26.3,Low Risk
CUST100067,HDFC Bank,Mass Retail,2,13,2500,40000,41,328,54000,960000,9.3,Low Risk
CUST100068,IndusInd Bank,Business,8,65,97800,500000,187,1512,2091000,10790000,16.2,Low Risk
CUST100069,Punjab National Bank,Mass Retail,4,8,4200,40000,90,205,92000,880000,26.3,Low Risk
CUST100070,ICICI Bank,SME,14,49,64200,1500000,330,1274,1060000,27060000,14.3,Low Risk
CUST100071,Yes Bank,Premium,16,27,644200,500000,409,583,13571000,9750000,103.4,High Risk
CUST100072,Federal Bank,Mass Retail,7,12,13200,100000,116,253,180000,1820000,29.3,Low Risk
CUST100073,Kotak Mahindra Bank,Mass Retail,3,12,4000,25000,53,300,86000,580000,18.1,Low Risk
CUST100074,Axis Bank,Business,14,60,188000,1000000,258,1559,2356000,19020000,17.5,Low Risk
CUST100075,Axis Bank,Premium,8,21,116800,750000,156,492,2191000,18060000,23.2,Low Risk
CUST100076,Canara Bank,Premium,3,20,130900,300000,68,491,2895000,6750000,30.7,Low Risk
CUST100077,Yes Bank,Premium,11,21,446300,1000000,215,514,9061000,19610000,46.2,Low-Medium Risk
CUST100078,Federal Bank,Mass Retail,10,8,42600,50000,231,172,631000,960000,99.3,High Risk
CUST100079,HDFC Bank,Mass Retail,5,7,95200,100000,94,161,2422000,2240000,85.2,Medium Risk
CUST100080,Union Bank of India,Mass Retail,2,11,13600,40000,62,273,340000,970000,28.3,Low Risk
CUST100081,HDFC Bank,Business,15,85,2774800,5000000,254,2024,48638000,115140000,34.0,Low Risk
CUST100082,Axis Bank,Affluent,3,16,24300,150000,64,306,439000,3070000,17.2,Low Risk
CUST100083,State Bank of India,Mass Retail,2,12,20000,75000,51,256,346000,1660000,21.6,Low Risk
CUST100084,Kotak Mahindra Bank,Mass Retail,2,6,12400,50000,33,120,206000,1010000,26.0,Low Risk
CUST100085,Union Bank of India,Mass Retail,2,7,6500,40000,29,144,113000,1000000,18.3,Low Risk
CUST100086,Canara Bank,Mass Retail,1,7,24100,75000,26,177,456000,1740000,22.6,Low Risk
CUST100087,Canara Bank,Premium,4,20,169000,750000,86,385,3294000,16730000,21.3,Low Risk
CUST100088,Union Bank of India,Affluent,20,19,85300,100000,469,390,1560000,2100000,94.0,High Risk
CUST100089,Kotak Mahindra Bank,Business,6,43,366300,1000000,122,910,5609000,22330000,23.3,Low Risk
CUST100090,Bank of India,Affluent,4,14,80700,150000,64,326,1291000,3060000,37.7,Low Risk
CUST100091,HDFC Bank,Mass Retail,2,10,6400,50000,51,227,95000,910000,15.7,Low Risk
CUST100092,Federal Bank,Premium,4,29,165200,750000,68,595,3311000,15570000,17.5,Low Risk
CUST100093,Indian Bank,Premium,17,30,71800,500000,338,604,1277000,12260000,31.6,Low Risk
CUST100094,Kotak Mahindra Bank,Affluent,11,12,244300,300000,299,248,5262000,6720000,91.4,High Risk
CUST100095,Yes Bank,Premium,11,27,35200,500000,192,608,436000,9290000,19.4,Low Risk
CUST100096,IDFC First Bank,Affluent,9,16,38500,100000,173,334,934000,2420000,45.3,Low-Medium Risk
CUST100097,Axis Bank,Affluent,3,19,14400,150000,72,487,245000,2980000,11.9,Low Risk
CUST100098,Union Bank of India,Affluent,4,20,77300,400000,88,445,1150000,7880000,18.3,Low Risk
CUST100099,Bank of India,Mass Retail,1,7,8000,100000,30,136,142000,2010000,12.1,Low Risk
CUST100100,Canara Bank,Mass Retail,4,8,111700,100000,107,193,2347000,2200000,84.4,Medium Risk
CUST100101,ICICI Bank,Mass Retail,1,8,11900,40000,13,170,242000,870000,20.6,Low Risk
CUST100102,Canara Bank,Affluent,3,19,1600,200000,63,448,32000,4290000,7.2,Low Risk
CUST100103,IDFC First Bank,Mass Retail,3,7,51400,40000,60,147,1236000,920000,91.8,High Risk
CUST100104,Bank of Baroda,Affluent,0,13,75100,200000,6,299,1301000,4040000,20.0,Low Risk
CUST100105,Federal Bank,Business,17,83,505400,2500000,318,2026,12345000,58690000,19.4,Low Risk
CUST100106,Bank of Baroda,Mass Retail,0,7,14600,100000,11,178,284000,1920000,9.7,Low Risk
CUST100107,Bank of Baroda,Mass Retail,1,10,4000,75000,9,208,69000,1760000,5.6,Low Risk
CUST100108,Bank of Baroda,Premium,25,21,986000,750000,444,448,21220000,16990000,119.6,High Risk
CUST100109,Canara Bank,Mass Retail,2,10,700,40000,43,222,12000,910000,9.4,Low Risk
CUST100110,IndusInd Bank,Mass Retail,6,7,62400,75000,191,178,1527000,1600000,92.3,High Risk
CUST100111,Federal Bank,Mass Retail,3,13,19800,75000,59,329,308000,1700000,21.3,Low Risk
CUST100112,ICICI Bank,Mass Retail,6,6,83300,100000,128,118,2111000,1860000,100.6,High Risk
CUST100113,IndusInd Bank,SME,8,37,17200,200000,126,737,311000,4790000,12.8,Low Risk
CUST100114,HDFC Bank,Business,53,50,970900,1000000,1309,1123,24514000,18390000,113.5,High Risk
CUST100115,Yes Bank,Affluent,14,15,191300,400000,318,296,5089000,7620000,76.2,Medium Risk
CUST100116,Yes Bank,Business,13,80,2548200,5000000,245,1714,50469000,110190000,33.8,Low Risk
CUST100117,Kotak Mahindra Bank,Business,48,85,90600,1000000,913,1703,1897000,23180000,29.0,Low Risk
CUST100118,IndusInd Bank,Mass Retail,2,12,13400,40000,41,281,251000,740000,26.1,Low Risk
CUST100119,State Bank of India,Business,41,46,91100,2500000,1175,1180,2299000,61110000,43.8,Low-Medium Risk
CUST100120,IndusInd Bank,Affluent,4,14,98700,300000,98,364,2030000,7440000,29.1,Low Risk
CUST100121,Yes Bank,Business,21,60,114100,500000,324,1298,2306000,11120000,25.5,Low Risk
CUST100122,Bank of India,Business,43,43,101900,1500000,1214,997,2539000,32050000,53.0,Low-Medium Risk
CUST100123,Bank of India,Mass Retail,1,9,2200,40000,14,225,41000,930000,6.5,Low Risk
CUST100124,State Bank of India,Mass Retail,3,10,39400,100000,48,198,791000,2030000,33.7,Low Risk
CUST100125,Yes Bank,Mass Retail,15,12,83000,100000,261,286,2135000,2150000,98.5,High Risk
CUST100126,Indian Bank,Affluent,2,16,139800,400000,31,350,3207000,9770000,23.7,Low Risk
CUST100127,HDFC Bank,Business,88,84,314900,500000,1870,1717,8777000,12340000,84.6,Medium Risk
CUST100128,ICICI Bank,Business,17,66,637200,5000000,292,1440,16178000,122450000,17.4,Low Risk
CUST100129,Federal Bank,Mass Retail,1,12,21100,50000,31,234,311000,990000,25.1,Low Risk
CUST100130,Canara Bank,Affluent,0,15,68900,400000,4,358,980000,7850000,8.3,Low Risk
CUST100131,Axis Bank,Mass Retail,3,7,3200,25000,62,145,65000,500000,26.2,Low Risk
CUST100132,Union Bank of India,Mass Retail,5,9,7400,75000,102,191,118000,1580000,28.7,Low Risk
CUST100133,Federal Bank,Mass Retail,2,7,28800,100000,40,139,456000,2020000,27.3,Low Risk
CUST100134,Federal Bank,Mass Retail,5,13,2700,25000,115,326,48000,520000,21.7,Low Risk
CUST100135,Kotak Mahindra Bank,SME,19,52,116900,200000,368,1168,2014000,4470000,44.0,Low-Medium Risk
CUST100136,State Bank of India,Mass Retail,3,9,17300,100000,44,207,331000,2330000,20.6,Low Risk
CUST100137,Federal Bank,Affluent,11,17,72100,300000,193,391,1189000,6940000,36.6,Low Risk
CUST100138,Union Bank of India,Premium,8,25,274300,1000000,191,547,6740000,23700000,30.1,Low Risk
CUST100139,Axis Bank,Mass Retail,1,13,14900,50000,22,265,246000,910000,19.5,Low Risk
CUST100140,ICICI Bank,SME,31,29,193900,400000,688,702,3692000,7330000,72.5,Medium Risk
CUST100141,Punjab National Bank,SME,2,38,26900,400000,28,756,460000,9410000,5.3,Low Risk
CUST100142,Kotak Mahindra Bank,Mass Retail,2,10,600,40000,49,197,12000,870000,10.7,Low Risk
CUST100143,HDFC Bank,Affluent,23,21,163500,200000,622,503,2940000,4410000,93.2,High Risk
CUST100144,Bank of India,Mass Retail,7,7,91900,75000,191,143,1634000,1380000,119.0,High Risk
CUST100145,Indian Bank,Mass Retail,3,10,9200,25000,62,211,139000,490000,31.2,Low Risk
CUST100146,Axis Bank,Mass Retail,7,12,33900,25000,116,268,765000,560000,98.7,High Risk
CUST100147,Federal Bank,Affluent,3,19,62000,400000,54,421,1264000,9610000,14.5,Low Risk
CUST100148,Canara Bank,Affluent,3,14,58400,150000,61,335,1168000,3660000,28.5,Low Risk
CUST100149,ICICI Bank,Mass Retail,4,8,6200,25000,71,187,123000,540000,32.8,Low Risk
CUST100150,Bank of Baroda,Mass Retail,2,12,5800,100000,40,282,110000,2180000,9.9,Low Risk
CUST100151,Kotak Mahindra Bank,Business,11,68,891200,1500000,276,1632,15641000,35750000,36.1,Low Risk
CUST100152,Yes Bank,Mass Retail,3,11,11100,50000,50,232,249000,1090000,23.4,Low Risk
CUST100153,Bank of Baroda,Mass Retail,3,7,6600,75000,75,149,112000,1620000,24.9,Low Risk
CUST100154,Indian Bank,Affluent,1,17,121300,300000,13,375,2997000,7300000,24.7,Low Risk
CUST100155,Bank of Baroda,SME,5,42,944900,1500000,120,888,14655000,35290000,35.1,Low Risk
CUST100156,State Bank of India,Mass Retail,1,13,13400,75000,22,337,244000,1830000,12.0,Low Risk
CUST100157,Bank of India,Premium,11,28,40900,750000,220,692,781000,14650000,18.4,Low Risk
CUST100158,Bank of Baroda,Premium,28,31,494700,500000,740,625,13713000,10840000,109.0,High Risk
CUST100159,Axis Bank,Mass Retail,1,9,46800,100000,11,171,766000,2390000,25.9,Low Risk
CUST100160,HDFC Bank,Premium,1,22,46800,300000,18,425,594000,5630000,9.5,Low Risk
CUST100161,Indian Bank,Mass Retail,3,10,2600,100000,56,207,44000,2360000,13.9,Low Risk
CUST100162,Indian Bank,Affluent,6,13,79900,200000,106,257,1247000,3860000,39.3,Low Risk
CUST100163,Bank of India,Affluent,1,14,24200,100000,23,318,472000,2370000,15.4,Low Risk
CUST100164,Punjab National Bank,Affluent,7,18,40900,150000,141,450,658000,3340000,28.6,Low Risk
CUST100165,ICICI Bank,Mass Retail,0,6,27700,75000,4,145,376000,1450000,18.3,Low Risk
CUST100166,Canara Bank,Business,11,68,17500,500000,171,1395,258000,10660000,7.8,Low Risk
CUST100167,Bank of India,Mass Retail,1,12,9100,100000,16,262,186000,2280000,7.8,Low Risk
CUST100168,Axis Bank,Mass Retail,2,7,23600,75000,25,158,430000,1680000,25.9,Low Risk
CUST100169,State Bank of India,Mass Retail,8,7,68300,75000,166,173,1102000,1570000,91.3,High Risk
CUST100170,Bank of Baroda,Affluent,7,15,37900,400000,131,373,789000,9720000,22.8,Low Risk
CUST100171,Kotak Mahindra Bank,Premium,10,21,56400,500000,266,533,920000,10820000,27.2,Low Risk
CUST100172,ICICI Bank,Mass Retail,1,6,8300,40000,13,135,127000,860000,16.0,Low Risk
CUST100173,Axis Bank,Affluent,6,12,239800,200000,122,286,4315000,3690000,86.8,Medium Risk
CUST100174,Kotak Mahindra Bank,Mass Retail,1,8,3500,50000,19,158,71000,1220000,8.9,Low Risk
CUST100175,Yes Bank,Affluent,10,21,44300,150000,161,482,683000,2890000,32.9,Low Risk
CUST100176,Punjab National Bank,Mass Retail,1,6,14300,75000,16,124,266000,1630000,16.4,Low Risk
CUST100177,Bank of Baroda,Premium,7,20,295300,750000,119,440,6478000,17720000,34.9,Low Risk
CUST100178,Bank of Baroda,Mass Retail,7,6,79800,75000,149,141,1908000,1460000,115.4,High Risk
CUST100179,HDFC Bank,SME,30,31,904500,750000,640,645,20810000,16270000,112.8,High Risk
CUST100180,Union Bank of India,Mass Retail,1,7,5400,25000,14,136,96000,490000,17.0,Low Risk
CUST100181,Indian Bank,Mass Retail,7,13,7900,50000,119,248,131000,1170000,30.0,Low Risk
CUST100182,HDFC Bank,Mass Retail,4,8,14600,40000,59,153,298000,880000,39.2,Low Risk
CUST100183,State Bank of India,SME,14,47,880600,1500000,254,896,19961000,35990000,44.7,Low-Medium Risk
CUST100184,Punjab National Bank,Business,113,88,2755100,2500000,1703,1740,87614000,60650000,120.8,High Risk
CUST100185,Indian Bank,Mass Retail,2,7,6000,25000,32,145,94000,560000,22.7,Low Risk
CUST100186,Indian Bank,Premium,4,34,52400,300000,83,699,1095000,6920000,14.5,Low Risk
CUST100187,Kotak Mahindra Bank,Business,4,54,438900,1500000,79,1399,9429000,32770000,19.1,Low Risk
CUST100188,Canara Bank,Affluent,3,15,57700,300000,46,317,779000,6210000,16.7,Low Risk
CUST100189,Yes Bank,Affluent,17,15,230600,200000,347,298,4636000,4510000,111.4,High Risk
CUST100190,IDFC First Bank,Mass Retail,0,11,3300,25000,11,251,70000,610000,7.6,Low Risk
CUST100191,Punjab National Bank,Mass Retail,3,11,17600,40000,62,275,276000,840000,32.6,Low Risk
CUST100192,Indian Bank,Business,15,89,682900,2500000,291,2113,11309000,50500000,20.5,Low Risk
CUST100193,Axis Bank,Business,29,88,617700,2500000,595,1854,9715000,51800000,26.6,Low Risk
CUST100194,Bank of Baroda,Affluent,17,18,93800,400000,449,413,1964000,8420000,57.5,Low-Medium Risk
CUST100195,Federal Bank,Mass Retail,16,13,96400,75000,366,312,1603000,1390000,121.1,High Risk
CUST100196,Canara Bank,Mass Retail,7,12,74900,75000,125,289,1570000,1610000,77.7,Medium Risk
CUST100197,Axis Bank,Premium,9,34,79200,500000,211,805,1289000,10730000,19.3,Low Risk
CUST100198,Indian Bank,Business,5,62,2234500,5000000,98,1556,38983000,110600000,25.5,Low Risk
CUST100199,Canara Bank,Business,18,59,700900,2500000,359,1480,13397000,51350000,27.2,Low Risk
CUST100200,Federal Bank,Premium,5,24,9500,300000,87,553,158000,6690000,9.5,Low Risk
CUST100201,Canara Bank,Affluent,3,12,46400,150000,62,264,832000,3620000,25.7,Low Risk
CUST100202,Union Bank of India,Mass Retail,1,10,11100,100000,18,235,222000,2470000,9.6,Low Risk
CUST100203,Indian Bank,Mass Retail,1,8,10600,100000,20,198,158000,2210000,9.9,Low Risk
CUST100204,Kotak Mahindra Bank,Business,6,57,446200,2500000,102,1085,7049000,45750000,13.6,Low Risk
CUST100205,Yes Bank,Affluent,2,15,62600,300000,33,389,1265000,7440000,15.3,Low Risk
CUST100206,Yes Bank,Mass Retail,11,9,37300,50000,195,183,753000,1150000,89.6,Medium Risk
CUST100207,Federal Bank,Mass Retail,8,10,65700,75000,240,223,1500000,1530000,93.4,High Risk
CUST100208,IDFC First Bank,Premium,2,26,52900,300000,60,653,876000,5710000,13.0,Low Risk
CUST100209,Punjab National Bank,Mass Retail,2,9,7600,100000,26,185,136000,1900000,12.1,Low Risk
CUST100210,IDFC First Bank,Mass Retail,3,9,61300,50000,130,201,1430000,960000,97.7,High Risk
CUST100211,Union Bank of India,Affluent,2,13,79400,150000,24,259,1414000,2750000,34.4,Low Risk
CUST100212,Bank of Baroda,Premium,10,24,23000,750000,201,522,432000,18240000,19.2,Low Risk
CUST100213,HDFC Bank,Premium,7,29,60000,1000000,140,587,1272000,21790000,13.9,Low Risk
CUST100214,State Bank of India,Mass Retail,1,7,10700,25000,13,151,237000,570000,28.9,Low Risk
CUST100215,IndusInd Bank,Premium,10,32,214600,750000,207,692,4303000,17850000,28.3,Low Risk
CUST100216,Federal Bank,Mass Retail,11,10,31700,40000,332,260,595000,940000,92.1,High Risk
CUST100217,State Bank of India,Mass Retail,1,7,7000,40000,33,182,154000,970000,16.6,Low Risk
CUST100218,Bank of India,Premium,14,25,440000,750000,203,495,8724000,18580000,51.0,Low-Medium Risk
CUST100219,Kotak Mahindra Bank,Affluent,5,14,64100,400000,114,337,1163000,8430000,23.8,Low Risk
CUST100220,Axis Bank,Business,10,47,61600,500000,135,910,1002000,12330000,13.5,Low Risk
CUST100221,Kotak Mahindra Bank,Premium,17,31,96900,300000,236,596,1611000,6920000,36.3,Low Risk
CUST100222,State Bank of India,Affluent,9,18,12100,400000,164,355,196000,7400000,22.8,Low Risk
CUST100223,State Bank of India,Mass Retail,2,11,19600,100000,32,283,414000,2280000,17.0,Low Risk
CUST100224,Union Bank of India,Mass Retail,2,6,7500,25000,41,154,165000,570000,29.7,Low Risk
CUST100225,Federal Bank,Mass Retail,1,6,22900,100000,12,122,379000,2430000,16.9,Low Risk
CUST100226,Federal Bank,Mass Retail,2,7,3100,25000,36,141,55000,520000,18.5,Low Risk
CUST100227,Canara Bank,SME,17,54,444600,750000,270,1117,7975000,16570000,42.1,Low-Medium Risk
CUST100228,Union Bank of India,Mass Retail,2,9,65400,100000,36,203,1131000,1810000,44.4,Low-Medium Risk
CUST100229,Punjab National Bank,Business,13,79,286000,1500000,305,1816,4746000,30490000,17.1,Low Risk
CUST100230,State Bank of India,Affluent,2,14,194900,300000,39,288,3474000,5530000,42.0,Low-Medium Risk
CUST100231,Union Bank of India,Premium,21,21,329500,300000,572,510,9296000,6500000,117.5,High Risk
CUST100232,Punjab National Bank,Affluent,9,19,101100,100000,275,402,2808000,2370000,86.6,Medium Risk
CUST100233,Kotak Mahindra Bank,Affluent,5,12,25500,300000,104,305,378000,5830000,20.6,Low Risk
CUST100234,HDFC Bank,Affluent,23,21,211100,300000,582,496,4426000,6510000,88.6,Medium Risk
CUST100235,ICICI Bank,Mass Retail,2,7,14300,25000,49,154,283000,490000,45.6,Low-Medium Risk
CUST100236,Federal Bank,Premium,3,20,14200,750000,53,491,245000,14130000,6.8,Low Risk
CUST100237,IndusInd Bank,Mass Retail,1,7,6200,50000,12,173,126000,1080000,11.3,Low Risk
CUST100238,HDFC Bank,Mass Retail,2,10,6600,75000,40,210,83000,1390000,12.8,Low Risk
CUST100239,ICICI Bank,Affluent,1,19,120300,300000,25,406,1789000,6630000,21.2,Low Risk
CUST100240,HDFC Bank,Mass Retail,3,9,6700,25000,80,230,102000,460000,28.7,Low Risk
CUST100241,Canara Bank,SME,22,52,3400,200000,396,1048,61000,3750000,18.7,Low Risk
CUST100242,Indian Bank,SME,19,48,18900,200000,331,926,322000,4370000,21.2,Low Risk
CUST100243,IndusInd Bank,Business,4,57,138400,500000,69,1264,2215000,11070000,16.1,Low Risk
CUST100244,ICICI Bank,Mass Retail,3,10,16800,50000,68,246,294000,910000,31.2,Low Risk
CUST100245,Bank of India,Mass Retail,3,13,2000,25000,71,317,33000,550000,13.8,Low Risk
CUST100246,Union Bank of India,SME,32,25,223100,200000,812,636,5165000,4770000,117.9,High Risk
CUST100247,Canara Bank,Affluent,1,14,10000,150000,13,318,168000,3460000,5.8,Low Risk
CUST100248,Indian Bank,SME,44,45,888100,750000,1061,887,19783000,14190000,119.9,High Risk
CUST100249,State Bank of India,SME,7,33,581200,1500000,138,763,12783000,33220000,30.1,Low Risk
CUST100250,Indian Bank,Business,17,42,82500,500000,396,1027,1787000,11350000,26.3,Low Risk
CUST100251,IDFC First Bank,Mass Retail,2,12,7100,100000,49,236,90000,1830000,11.7,Low Risk
CUST100252,IDFC First Bank,Mass Retail,2,11,2600,100000,36,222,42000,2400000,8.9,Low Risk
CUST100253,IDFC First Bank,Business,21,59,518300,2500000,350,1126,13121000,60860000,26.8,Low Risk
CUST100254,IndusInd Bank,Mass Retail,8,9,92800,100000,247,208,1503000,2400000,89.4,Medium Risk
CUST100255,HDFC Bank,Mass Retail,1,7,7500,100000,25,176,121000,2380000,9.8,Low Risk
CUST100256,Federal Bank,Affluent,7,19,3200,200000,174,450,65000,4640000,17.6,Low Risk
CUST100257,Axis Bank,SME,9,45,69200,200000,192,1164,1340000,4490000,26.1,Low Risk
CUST100258,IndusInd Bank,Premium,25,20,425200,750000,429,389,15661000,17060000,93.4,High Risk
CUST100259,Bank of India,Affluent,12,20,12200,100000,291,506,256000,2360000,32.4,Low Risk
CUST100260,ICICI Bank,Mass Retail,0,10,12800,40000,6,247,290000,910000,18.4,Low Risk
CUST100261,Axis Bank,Affluent,2,14,71600,200000,34,297,994000,4060000,22.3,Low Risk
CUST100262,Bank of Baroda,SME,11,48,296300,750000,217,1239,5065000,15470000,29.5,Low Risk
CUST100263,IndusInd Bank,Mass Retail,2,11,16100,40000,32,231,340000,970000,28.0,Low Risk
CUST100264,State Bank of India,Affluent,9,21,33600,200000,216,530,483000,3620000,26.9,Low Risk
CUST100265,State Bank of India,Business,9,59,230500,500000,194,1485,3592000,11450000,27.7,Low Risk
CUST100266,IDFC First Bank,Premium,2,20,45900,750000,49,486,791000,18510000,7.2,Low Risk
CUST100267,Axis Bank,Premium,4,34,71900,500000,103,780,1206000,11470000,12.5,Low Risk
CUST100268,Indian Bank,Premium,39,34,401400,500000,855,675,9322000,12480000,96.6,High Risk
